"134340 - C:\Documents and Settings\User\My Documents\Homogeneous-catalysis\Allen, Lucy\lka1079.014.spc"
"Wavelength nm.","Abs."
200.00,0.58020
201.00,0.49182
202.00,0.64221
203.00,0.90344
204.00,0.79578
205.00,0.64490
206.00,0.60120
207.00,0.60083
208.00,0.51196
209.00,0.51172
210.00,0.53430
211.00,0.51111
212.00,0.57593
213.00,0.53064
214.00,0.48535
215.00,0.55176
216.00,0.53015
217.00,0.48132
218.00,0.42639
219.00,0.27502
220.00,0.24060
221.00,0.31934
222.00,0.43787
223.00,0.50085
224.00,0.50635
225.00,0.51282
226.00,0.51453
227.00,0.51477
228.00,0.51306
229.00,0.50659
230.00,0.49536
231.00,0.48010
232.00,0.46228
233.00,0.44226
234.00,0.42078
235.00,0.39856
236.00,0.37585
237.00,0.35413
238.00,0.33386
239.00,0.31482
240.00,0.29736
241.00,0.28162
242.00,0.26758
243.00,0.25464
244.00,0.24268
245.00,0.23108
246.00,0.21960
247.00,0.20886
248.00,0.19836
249.00,0.18787
250.00,0.17725
251.00,0.16675
252.00,0.15649
253.00,0.14697
254.00,0.13831
255.00,0.13000
256.00,0.12207
257.00,0.11499
258.00,0.10864
259.00,0.10315
260.00,0.09839
261.00,0.09399
262.00,0.09021
263.00,0.08691
264.00,0.08362
265.00,0.08057
266.00,0.07764
267.00,0.07495
268.00,0.07239
269.00,0.06958
270.00,0.06653
271.00,0.06335
272.00,0.06018
273.00,0.05688
274.00,0.05371
275.00,0.05029
276.00,0.04688
277.00,0.04346
278.00,0.04004
279.00,0.03687
280.00,0.03357
281.00,0.03040
282.00,0.02734
283.00,0.02441
284.00,0.02136
285.00,0.01855
286.00,0.01599
287.00,0.01367
288.00,0.01099
289.00,0.00854
290.00,0.00647
291.00,0.00439
292.00,0.00220
293.00,0.00024
294.00,-0.00159
295.00,-0.00330
296.00,-0.00500
297.00,-0.00671
298.00,-0.00146
299.00,0.02014
300.00,0.03796
301.00,0.03955
302.00,0.03821
303.00,0.03687
304.00,0.03528
305.00,0.03394
306.00,0.03284
307.00,0.03149
308.00,0.03027
309.00,0.02917
310.00,0.02795
311.00,0.02673
312.00,0.02563
313.00,0.02466
314.00,0.02380
315.00,0.02295
316.00,0.02197
317.00,0.02100
318.00,0.02039
319.00,0.01990
320.00,0.01941
321.00,0.01880
322.00,0.01843
323.00,0.01794
324.00,0.01746
325.00,0.01709
326.00,0.01672
327.00,0.01624
