"130801 - C:\Documents and Settings\User\My Documents\Homogeneous-catalysis\Allen, Lucy\lka1079.010.spc"
"Wavelength nm.","Abs."
200.00,0.36560
201.00,0.33606
202.00,0.26721
203.00,0.22754
204.00,0.24792
205.00,0.26831
206.00,0.26794
207.00,0.26746
208.00,0.26709
209.00,0.26660
210.00,0.31409
211.00,0.36169
212.00,0.31311
213.00,0.29187
214.00,0.27051
215.00,0.24231
216.00,0.28088
217.00,0.25940
218.00,0.14807
219.00,0.09106
220.00,0.13831
221.00,0.28955
222.00,0.50208
223.00,0.72241
224.00,0.88757
225.00,0.93225
226.00,0.93872
227.00,0.93555
228.00,0.92297
229.00,0.90369
230.00,0.87854
231.00,0.84875
232.00,0.81763
233.00,0.78308
234.00,0.74670
235.00,0.70935
236.00,0.67078
237.00,0.63452
238.00,0.59998
239.00,0.56787
240.00,0.53882
241.00,0.51245
242.00,0.48889
243.00,0.46680
244.00,0.44666
245.00,0.42725
246.00,0.40747
247.00,0.38794
248.00,0.36816
249.00,0.34839
250.00,0.32861
251.00,0.30908
252.00,0.29053
253.00,0.27319
254.00,0.25720
255.00,0.24219
256.00,0.22791
257.00,0.21521
258.00,0.20374
259.00,0.19373
260.00,0.18494
261.00,0.17737
262.00,0.17065
263.00,0.16455
264.00,0.15881
265.00,0.15356
266.00,0.14880
267.00,0.14441
268.00,0.13989
269.00,0.13489
270.00,0.12952
271.00,0.12390
272.00,0.11816
273.00,0.11243
274.00,0.10657
275.00,0.10046
276.00,0.09473
277.00,0.08911
278.00,0.08374
279.00,0.07861
280.00,0.07349
281.00,0.06873
282.00,0.06409
283.00,0.05994
284.00,0.05603
285.00,0.05225
286.00,0.04871
287.00,0.04517
288.00,0.04175
289.00,0.03870
290.00,0.03589
291.00,0.03308
292.00,0.03052
293.00,0.02820
294.00,0.02576
295.00,0.02344
296.00,0.02100
297.00,0.01868
298.00,0.02332
299.00,0.04431
300.00,0.06140
301.00,0.06213
302.00,0.05981
303.00,0.05774
304.00,0.05554
305.00,0.05347
306.00,0.05164
307.00,0.04980
308.00,0.04773
309.00,0.04578
310.00,0.04382
311.00,0.04175
312.00,0.03979
313.00,0.03796
314.00,0.03650
315.00,0.03491
316.00,0.03333
317.00,0.03198
318.00,0.03088
319.00,0.02991
320.00,0.02893
321.00,0.02808
322.00,0.02734
323.00,0.02661
324.00,0.02600
325.00,0.02539
326.00,0.02490
327.00,0.02429
328.00,0.02380
329.00,0.02319
330.00,0.02271
331.00,0.02222
332.00,0.02161
333.00,0.02112
334.00,0.02051
335.00,0.01990
336.00,0.01929
337.00,0.01880
338.00,0.01819
339.00,0.01746
340.00,0.01672
341.00,0.01550
342.00,0.01440
343.00,0.01367
344.00,0.01306
345.00,0.01233
346.00,0.01160
347.00,0.01086
348.00,0.01025
349.00,0.00977
350.00,0.00916
351.00,0.00842
352.00,0.00769
353.00,0.00708
354.00,0.00647
355.00,0.00598
356.00,0.00549
357.00,0.00513
358.00,0.00464
359.00,0.00427
360.00,0.00391
361.00,0.00354
362.00,0.00330
363.00,0.00305
364.00,0.00281
365.00,0.00269
366.00,0.00256
367.00,0.00244
368.00,0.00232
369.00,0.00220
370.00,0.00195
371.00,0.00183
372.00,0.00171
373.00,0.00171
374.00,0.00171
375.00,0.00146
376.00,0.00122
377.00,0.00122
378.00,0.00122
379.00,0.00110
380.00,0.00098
381.00,0.00098
382.00,0.00098
383.00,0.00085
384.00,0.00085
385.00,0.00073
386.00,0.00061
387.00,0.00061
388.00,0.00049
389.00,0.00049
390.00,0.00049
391.00,0.00049
392.00,0.00049
393.00,0.00049
394.00,0.00049
395.00,0.00037
396.00,0.00037
397.00,0.00037
398.00,0.00037
399.00,0.00037
400.00,0.00037
401.00,0.00037
402.00,0.00037
403.00,0.00037
404.00,0.00037
405.00,0.00037
406.00,0.00024
407.00,0.00024
408.00,0.00024
409.00,0.00012
410.00,0.00012
411.00,0.00024
412.00,0.00024
413.00,0.00024
414.00,0.00024
415.00,0.00037
416.00,0.00049
417.00,0.00012
418.00,0.00012
419.00,0.00012
420.00,0.00000
421.00,0.00012
422.00,0.00012
423.00,0.00012
424.00,0.00012
425.00,0.00000
