Query, Refcode,DIST1 
3,VJYFILE,2.137
3,HCO609K,2.097
3,16QPMXS,2.142
3,3G1AH85,2.138
3,F92B1PE,2.106
3,9M424BB,2.114
3,3C4GPPI,2.068
3,CIGZSJ5,2.321
3,E5F081S,2.192
3,5DEB9JB,2.334
3,B2LNB6K,2.066
3,B9K4P1K,2.180
3,H3R5HUU,2.139
3,FNSTZL1,2.121
3,2XFL2DL,2.090
3,VSMNHJV,2.092
3,H00WM45,2.094
3,SW7AGFI,2.058
3,8N0LSY2,2.138
3,VOAUDEU,2.061
3,XHM4ADB,2.105
3,91YPT4J,2.161
3,UEL09IT,2.126
3,LYTKP6F,2.133
3,ING5L9B,2.139
3,AZV5931,2.150
3,D8SC90I,2.221
3,CVU3LHX,2.174
3,68FMD4W,2.093
3,8D8B1YK,2.211
3,FUMT344,2.312
3,QTFKGT7,2.153
3,I8AMG1N,2.126
3,61EAZO7,2.186
3,3TA3W0B,2.005
3,JXQVO0B,2.033
3,ZOP97K9,2.205
3,9GDASR3,2.061
3,VZ5X51S,2.226
3,VD37HCK,2.254
3,4QWR8C5,2.174
3,MSZPKKA,1.849
3,6UMA8US,1.832
3,WM8ZP2G,1.853
3,N2UJHXH,1.840
3,JQUKUCW,1.863
3,I0A9ZZT,1.856
3,N2V1E8V,1.952
3,I86E4XR,2.045
3,KX890QS,1.988
3,TR8XWFQ,1.977
3,HLER1NH,2.046
3,EAB5S7R,2.053
3,85GYQUV,2.086
3,AXI6F8W,1.946
3,3LYE7IS,2.075
3,M7B7JT6,1.889
3,YO3CWVJ,1.930
3,VSAR022,1.926
3,OITG1XH,1.935
3,AHFKYN0,1.952
3,IIZ9UW8,1.986
3,9JZK7WQ,1.976
3,8X91UH7,1.944
3,EU1PPEW,1.957
3,DWXOER4,2.096
3,IXUK09E,2.035
3,NZIMBBS,2.028
3,NBBWHFL,1.991
3,Y4YIFKY,2.053
3,51M8E53,2.073
3,CN0URBZ,1.895
3,8AXJ45K,1.977
3,UOJSSTE,1.925
3,G7XRZI6,1.945
3,D2VLAII,1.995
3,K933CVU,2.017
3,MVLTBSW,2.094
3,FK3DKDY,2.019
3,4ZCDUCW,1.923
3,XCG5YN9,1.924
3,GQS3QHT,1.938
3,LIKDJNP,2.024
3,S2DGVEV,2.025
3,27QM8Y3,2.016
3,ORDHU89,1.994
3,5C3IPZ8,1.973
3,3UD5SVM,1.965
3,ZQ1MDQX,2.008
3,IDEUBGI,2.064
3,2UZVIOT,2.017
3,50ZW9M5,2.015
3,4ZZSLC0,2.024
3,XKFOOGF,1.936
3,7TV1XKK,2.011
3,F3BW7HT,2.011
3,WXCUEU7,1.992
3,6AC8WM5,2.009
3,810AB7P,2.083
3,E86XB7H,2.058
3,GROYJ34,1.989
3,90TYM1Z,2.082
3,MOU4QPE,1.991
3,W1VV2MZ,1.913
3,70N6AOE,1.946
3,X84E7GD,2.053
3,53KL6A7,1.952
3,5E7S7D4,2.043
3,N4YRYRQ,2.075
3,MS3S2GW,1.987
3,BRQ9O6G,2.025
3,XU07CMG,1.988
3,ECE7Y0E,1.984
3,4LSIPQO,1.955
3,QPY3KSX,1.891
3,TQRVFJZ,1.905
3,WEHBERA,2.006
3,TUPSXPR,1.968
3,UBO1VN4,2.043
3,1QIUNYF,2.203
3,EG71I0Y,2.196
3,QEQN5TQ,2.238
3,ZELF4WS,2.317
3,DBS6GRE,1.874
3,0W474U4,1.935
