Query, Refcode,DIST1 
3,ABIDAR,2.140
3,ABIDAR,2.104
3,ABIDEV,2.131
3,ABIDEV,2.130
3,ABIDIZ,2.098
3,ABIDIZ,2.112
3,ABIDIZ,2.063
3,ABIDIZ,2.319
3,ABIDIZ,2.185
3,ABIDIZ,2.319
3,ABIDIZ,2.058
3,ABIDIZ,2.167
3,ABIDOF,2.133
3,ABIDOF,2.131
3,ABIDOF,2.088
3,ABIDOF,2.094
3,ABIDOF,2.110
3,ABIDOF,2.059
3,ABIDOF,2.141
3,ABIDOF,2.062
3,ABIDUL,2.093
3,ABIDUL,2.173
3,ABIDUL,2.114
3,ABIDUL,2.134
3,ABIFAT,2.137
3,ABIFAT,2.170
3,ABIFAT,2.248
3,ABIFAT,2.168
3,ABIFAT01,2.088
3,ABIFAT01,2.224
3,ABIFAT01,2.304
3,ABIFAT01,2.138
3,ABIFEX,2.111
3,ABIFEX,2.189
3,ABPIPM10,2.010
3,ABPIPM10,2.034
3,ABPQMN,2.226
3,ABUBII,2.061
3,ABZAMN,2.222
3,ABZAMN,2.260
3,ABZAMN,2.163
3,ACACMN,1.859
3,ACACMN,1.822
3,ACACMN,1.850
3,ACACMN,1.840
3,ACACMN,1.853
3,ACACMN,1.852
3,ACACMN02,1.965
3,ACACMN02,2.038
3,ACACMN02,1.984
3,ACACMN02,1.971
3,ACACMN02,2.028
3,ACACMN02,2.035
3,ACACMN21,2.092
3,ACACMN21,1.944
3,ACACMN21,2.077
3,ACACMN21,1.888
3,ACACMN21,1.909
3,ACACMN21,1.920
3,ACACMN22,1.938
3,ACACMN22,1.948
3,ACACMN22,1.988
3,ACACMN22,1.977
3,ACACMN22,1.937
3,ACACMN22,1.947
3,ACACMN22,2.084
3,ACACMN22,2.038
3,ACACMN22,2.025
3,ACACMN22,1.984
3,ACACMN22,2.063
3,ACACMN22,2.059
3,ACACMN23,1.893
3,ACACMN23,1.966
3,ACACMN23,1.920
3,ACACMN23,1.937
3,ACACMN23,1.995
3,ACACMN23,2.019
3,ACACMN23,2.070
3,ACACMN23,2.025
3,ACACMN23,1.932
3,ACACMN23,1.919
3,ACACMN23,1.941
3,ACACMN23,2.032
3,ACACMN23,2.033
3,ACACMN23,2.011
3,ACACMN23,1.996
3,ACACMN23,1.982
3,ACACMN23,1.964
3,ACACMN23,1.997
3,ACACMN23,2.056
3,ACACMN23,2.029
3,ACACMN23,2.019
3,ACACMN23,2.028
3,ACACMN23,1.932
3,ACACMN23,2.016
3,ACACMN24,2.026
3,ACACMN24,1.986
3,ACACMN24,2.009
3,ACACMN24,2.076
3,ACACMN24,2.049
3,ACACMN24,1.982
3,ACACMN24,2.080
3,ACACMN24,1.996
3,ACACMN24,1.905
3,ACACMN24,1.943
3,ACACMN24,2.039
3,ACACMN24,1.945
3,ACACMN24,2.029
3,ACACMN24,2.065
3,ACACMN24,2.000
3,ACACMN24,2.020
3,ACACMN24,1.981
3,ACACMN24,2.003
3,ACACMN24,1.952
3,ACACMN24,1.892
3,ACACMN24,1.914
3,ACACMN24,2.027
3,ACACMN24,1.966
3,ACACMN24,2.055
3,ACAGUH,2.218
3,ACAGUH,2.195
3,ACAGUH,2.234
3,ACAGUH,2.303
3,ACAHAN,1.867
3,ACAHAN,1.941
3,ACAHAN,1.874
3,ACAHAN,1.948
3,ACAHIW,2.237
3,ACAHIW,2.132
3,ACEKEZ,2.182
3,ACEKEZ,2.290
3,ACEKEZ,2.203
3,ACEKEZ,2.167
3,ACEKEZ,2.235
3,ACEKEZ,2.318
3,ACEKEZ,2.154
3,ACEKEZ,2.238
3,ACEKEZ,2.286
3,ACEKEZ,2.224
3,ACEKEZ,2.303
3,ACEKEZ,2.210
3,ACESMN,1.912
3,ACESMN,2.184
3,ACIJAY,2.162
3,ACIJAY,2.183
3,ACIJAY,2.183
3,ACINIK,1.956
3,ACINIK,2.228
3,ACINIK,1.829
3,ACINIK,1.896
3,ACINIK,1.914
3,ACINIK,2.322
3,ACINIK,2.266
3,ACINIK,2.142
3,ACINIK,2.242
3,ACINIK,2.153
3,ACINIK,2.232
3,ACINOQ,2.238
3,ACINOQ,2.238
3,ACINOQ,2.201
3,ACINOQ,2.184
3,ACINOQ,2.068
3,ACINOQ,2.225
3,ACINOQ,2.217
3,ACINOQ,2.083
3,ACINOQ,2.130
3,ACINOQ,2.218
3,ACINOQ,2.007
3,ACINOQ,1.887
3,ACINOQ,2.284
3,ACINOQ,2.157
3,ACINOQ,1.900
3,ACINOQ,1.879
3,ACINOQ,1.961
3,ACINOQ,1.894
3,ACINOQ,2.148
3,ACINOQ,2.193
3,ACINOQ,1.901
3,ACINOQ,1.984
3,ACINUW,2.221
3,ACINUW,2.162
3,ACINUW,2.143
3,ACINUW,2.157
3,ACINUW,2.323
3,ACINUW,2.361
3,ACINUW,1.923
3,ACINUW,1.893
3,ACINUW,1.946
3,ACINUW,1.940
3,ACINUW,2.347
3,ACIPAE,2.227
3,ACIPAE,2.123
